"data_type","alphabet_size","tier_size","language_class","factor_width","threshold","index","split","accuracy","precision","recall","f1","brier_score","model","train_size"
"OS",4,3,"TLT",6,1,1,"LA",0.7579,0.959747575584712,0.53838,0.689806273062731,0.237913357885587,"gru","Small"
"OS",4,3,"TLT",6,1,1,"LR",0.97341,0.981019732162816,0.9655,0.973197996149543,0.0260522730996627,"gru","Small"
"OS",4,3,"TLT",6,1,1,"SA",0.72115,0.981074613878616,0.451,0.617935192162773,0.274617833691326,"gru","Small"
"OS",4,3,"TLT",6,1,1,"SR",0.98269,0.991808122592872,0.97342,0.982528034883369,0.0170576605288149,"gru","Small"
"OS",4,3,"TLT",6,1,2,"LA",0.53889,0.532577191777379,0.63578,0.579620563593432,0.440510067418748,"gru","Small"
"OS",4,3,"TLT",6,1,2,"LR",0.70036,0.63777264350744,0.9275,0.755822481542448,0.286455652794925,"gru","Small"
"OS",4,3,"TLT",6,1,2,"SA",0.55839,0.58143426961591,0.4169,0.485608787317562,0.422164691626272,"gru","Small"
"OS",4,3,"TLT",6,1,2,"SR",0.83106,0.77691715738758,0.92882,0.846104795219356,0.158979848039128,"gru","Small"
"OS",4,3,"TLT",6,1,3,"LA",0.7147,0.707616137392179,0.73176,0.719485576072208,0.281372970203441,"gru","Small"
"OS",4,3,"TLT",6,1,3,"LR",0.83988,0.775885580700672,0.95586,0.856520726177889,0.157803768133341,"gru","Small"
"OS",4,3,"TLT",6,1,3,"SA",0.77504,0.919447325077777,0.6029,0.728263232913778,0.221442855950702,"gru","Small"
"OS",4,3,"TLT",6,1,3,"SR",0.95869,0.955673441815183,0.962,0.958826284996661,0.0401118348890562,"gru","Small"
